CASA,FORA,GOLS_CASA,GOLS_FORA,TEMPORADA
Levante,Ath Madrid,0,0,2526
Elche,Barcelona,1,3,2526
Real Madrid,Vallecano,2,1,2526
Betis,Valencia,2,1,2526
Getafe,Celta,0,0,2526
Ath Bilbao,Sociedad,1,1,2526
Mallorca,Sevilla,4,1,2526
Celta,Osasuna,1,2,2526
Barcelona,Mallorca,3,0,2526
Sociedad,Elche,3,1,2526
Alaves,Getafe,0,2,2526
Ath Bilbao,Levante,4,2,2526
Sevilla,Girona,1,1,2526
Ath Madrid,Betis,0,1,2526
Valencia,Real Madrid,0,2,2526
Villarreal,Espanol,4,1,2526
Elche,Osasuna,0,0,2526
Espanol,Celta,2,2,2526
Getafe,Villarreal,2,1,2526
Sevilla,Alaves,1,1,2526
Real Madrid,Sociedad,4,1,2526
Oviedo,Ath Bilbao,1,2,2526
Vallecano,Ath Madrid,3,0,2526
Levante,Valencia,0,2,2526
Mallorca,Betis,1,2,2526
Girona,Barcelona,2,1,2526
Levante,Villarreal,0,1,2526
Ath Bilbao,Elche,2,1,2526
Sociedad,Oviedo,3,3,2526
Betis,Vallecano,1,1,2526
Osasuna,Real Madrid,2,1,2526
Ath Madrid,Espanol,4,2,2526
Getafe,Sevilla,0,1,2526
Barcelona,Levante,3,0,2526
Celta,Mallorca,2,0,2526
Villarreal,Valencia,2,1,2526
Alaves,Girona,2,2,2526
Levante,Alaves,2,0,2526
Vallecano,Ath Bilbao,1,1,2526
Barcelona,Villarreal,4,1,2526
Mallorca,Sociedad,0,1,2526
Oviedo,Ath Madrid,0,1,2526
Elche,Espanol,2,2,2526
Valencia,Osasuna,1,0,2526
Betis,Sevilla,2,2,2526
Girona,Celta,1,2,2526
Real Madrid,Getafe,0,1,2526
Vallecano,Oviedo,3,0,2526
Celta,Real Madrid,1,2,2526
Osasuna,Mallorca,2,2,2526
Levante,Girona,1,1,2526
Ath Madrid,Sociedad,3,2,2526
Ath Bilbao,Barcelona,0,1,2526
Villarreal,Elche,2,1,2526
Getafe,Betis,2,0,2526
Sevilla,Vallecano,1,1,2526
Valencia,Alaves,3,2,2526
Espanol,Oviedo,1,1,2526
Alaves,Villarreal,1,1,2526
Girona,Ath Bilbao,3,0,2526
Ath Madrid,Getafe,1,0,2526
Oviedo,Valencia,1,0,2526
Real Madrid,Elche,4,1,2526
Mallorca,Espanol,2,1,2526
Barcelona,Sevilla,5,2,2526
Betis,Celta,1,1,2526
Sociedad,Osasuna,3,1,2526
Vallecano,Levante,1,1,2526
Villarreal,Sociedad,3,1,2526
Elche,Mallorca,2,1,2526
Espanol,Getafe,1,2,2526
Levante,Oviedo,4,2,2526
Osasuna,Girona,1,0,2526
Sevilla,Valencia,0,2,2526
Barcelona,Vallecano,1,0,2526
Celta,Alaves,3,4,2526
Ath Bilbao,Betis,2,1,2526
Real Madrid,Ath Madrid,3,2,2526
Vallecano,Elche,1,0,2526
Sociedad,Levante,2,0,2526
Mallorca,Real Madrid,2,1,2526
Betis,Espanol,0,0,2526
Ath Madrid,Barcelona,1,2,2526
Getafe,Ath Bilbao,2,0,2526
Valencia,Celta,2,3,2526
Oviedo,Sevilla,1,0,2526
Alaves,Osasuna,2,2,2526
Girona,Villarreal,1,0,2526
Real Madrid,Girona,1,1,2526
Sociedad,Alaves,3,3,2526
Elche,Valencia,1,0,2526
Barcelona,Espanol,4,1,2526
Sevilla,Ath Madrid,2,1,2526
Osasuna,Betis,1,1,2526
Mallorca,Vallecano,3,0,2526
Celta,Oviedo,0,3,2526
Ath Bilbao,Villarreal,1,2,2526
Levante,Getafe,1,0,2526
Ath Bilbao,Osasuna,1,0,2526
Mallorca,Valencia,1,1,2526
Girona,Betis,2,3,2526
Real Madrid,Alaves,2,1,2526
Elche,Ath Madrid,3,2,2526
Sociedad,Getafe,0,1,2526
Barcelona,Celta,1,0,2526
Levante,Sevilla,2,0,2526
Vallecano,Espanol,1,0,2526
Oviedo,Villarreal,1,1,2526
Genoa,Lecce,0,0,2526
Sassuolo,Napoli,0,2,2526
Milan,Cremonese,1,2,2526
Roma,Bologna,1,0,2526
Cagliari,Fiorentina,1,1,2526
Como,Lazio,2,0,2526
Atalanta,Pisa,1,1,2526
Juventus,Parma,2,0,2526
Udinese,Verona,1,1,2526
Inter,Torino,5,0,2526
Cremonese,Sassuolo,3,2,2526
Lecce,Milan,0,2,2526
Bologna,Como,1,0,2526
Parma,Atalanta,1,1,2526
Napoli,Cagliari,1,0,2526
Pisa,Roma,0,1,2526
Genoa,Juventus,0,1,2526
Torino,Fiorentina,0,0,2526
Inter,Udinese,1,2,2526
Lazio,Verona,4,0,2526
Cagliari,Parma,2,0,2526
Juventus,Inter,4,3,2526
Fiorentina,Napoli,1,3,2526
Roma,Torino,0,1,2526
Atalanta,Lecce,4,1,2526
Pisa,Udinese,0,1,2526
Sassuolo,Lazio,1,0,2526
Milan,Bologna,1,0,2526
Verona,Cremonese,0,0,2526
Como,Genoa,1,1,2526
Lecce,Cagliari,1,2,2526
Bologna,Genoa,2,1,2526
Verona,Juventus,1,1,2526
Udinese,Milan,0,3,2526
Lazio,Roma,0,1,2526
Cremonese,Parma,0,0,2526
Torino,Atalanta,0,3,2526
Fiorentina,Como,1,2,2526
Inter,Sassuolo,2,1,2526
Napoli,Pisa,3,2,2526
Como,Cremonese,1,1,2526
Juventus,Atalanta,1,1,2526
Cagliari,Inter,0,2,2526
Sassuolo,Udinese,3,1,2526
Pisa,Fiorentina,0,0,2526
Roma,Verona,2,0,2526
Lecce,Bologna,2,2,2526
Milan,Napoli,2,1,2526
Parma,Torino,2,1,2526
Genoa,Lazio,0,3,2526
Verona,Sassuolo,0,1,2526
Lazio,Torino,3,3,2526
Parma,Lecce,0,1,2526
Inter,Cremonese,4,1,2526
Atalanta,Como,1,1,2526
Udinese,Cagliari,1,1,2526
Bologna,Pisa,4,0,2526
Fiorentina,Roma,1,2,2526
Napoli,Genoa,2,1,2526
Juventus,Milan,0,0,2526
Lecce,Sassuolo,0,0,2526
Pisa,Verona,0,0,2526
Torino,Napoli,1,0,2526
Roma,Inter,0,1,2526
Como,Juventus,2,0,2526
Cagliari,Bologna,0,2,2526
Genoa,Parma,0,0,2526
